Datetime,LandAverageTemperatureUncertainty,UpperBounds,LowerBounds,month,year,Average_Temperature
1766-07-01,2.341,15.896,11.214,7,1766,13.555
1766-08-01,2.5980000000000003,16.355999999999998,11.159999999999998,8,1766,13.758
1766-09-01,2.855,15.105,9.395,9,1766,12.25
1766-10-01,1.491,9.956,6.974,10,1766,8.465
1766-11-01,3.774,11.228000000000002,3.680000000000002,11,1766,7.4540000000000015
1766-12-01,2.278,4.6110000000000015,0.05500000000000016,12,1766,2.333
1767-02-01,4.973,8.905,-1.041,2,1767,3.932
1767-03-01,4.418,11.44,2.6039999999999996,3,1767,7.022
1767-04-01,3.557,9.835,2.721,4,1767,6.278
1767-05-01,1.501,11.694,8.692,5,1767,10.193
1767-06-01,1.426,15.538,12.686,6,1767,14.112
1767-07-01,2.559,15.920000000000002,10.802,7,1767,13.360999999999999
1767-08-01,1.466,16.063,13.130999999999998,8,1767,14.597000000000001
1767-09-01,2.313,13.988,9.362,9,1767,11.675
1767-10-01,1.611,10.638,7.415999999999999,10,1767,9.027000000000001
1767-11-01,3.775,11.69,4.1400000000000015,11,1767,7.915
1767-12-01,2.297,3.486,-1.1079999999999997,12,1767,1.189
1768-02-01,3.04,3.5460000000000003,-2.5340000000000003,2,1768,0.5060000000000002
1768-03-01,2.157,4.603,0.2890000000000001,3,1768,2.4459999999999997
1768-04-01,1.84,8.76,5.08,4,1768,6.92
1768-05-01,2.4330000000000003,11.499,6.633000000000001,5,1768,9.066
1768-06-01,1.729,14.218999999999998,10.761,6,1768,12.489999999999998
1768-07-01,2.552,16.427,11.323,7,1768,13.875
1768-08-01,2.046,14.398,10.306,8,1768,12.352
1768-09-01,1.504,12.328,9.320000000000002,9,1768,10.824000000000002
1768-10-01,2.5580000000000003,10.287,5.1709999999999985,10,1768,7.728999999999999
1768-11-01,2.02,6.601000000000001,2.5610000000000004,11,1768,4.581
1768-12-01,2.286,4.9529999999999985,0.3809999999999998,12,1768,2.667
1769-01-01,3.76,6.065,-1.4549999999999996,1,1769,2.305
1769-02-01,2.527,4.691,-0.3629999999999996,2,1769,2.164
1769-03-01,2.225,6.795,2.345,3,1769,4.57
1769-04-01,3.105,12.071999999999996,5.8619999999999965,4,1769,8.966999999999997
1769-05-01,1.753,14.626,11.12,5,1769,12.873
1769-06-01,1.727,16.869,13.415,6,1769,15.142000000000001
1769-07-01,3.669,18.13,10.792000000000002,7,1769,14.460999999999999
1769-08-01,1.604,15.098000000000004,11.89,8,1769,13.494000000000002
1769-09-01,1.598,12.847999999999999,9.652000000000001,9,1769,11.25
1769-10-01,2.395,7.6919999999999975,2.901999999999999,10,1769,5.296999999999999
1769-11-01,2.267,5.0569999999999995,0.5230000000000001,11,1769,2.79
1770-01-01,4.275,6.2490000000000006,-2.301,1,1770,1.974
1770-02-01,4.129,8.234,-0.02399999999999913,2,1770,4.105
1770-03-01,2.276,3.888,-0.6639999999999997,3,1770,1.6119999999999999
1770-04-01,3.516,13.304,6.272,4,1770,9.788
1770-05-01,1.27,11.265999999999998,8.726,5,1770,9.996
1770-06-01,3.395,15.279000000000002,8.488999999999999,6,1770,11.884
1770-07-01,2.658,14.279000000000002,8.963000000000003,7,1770,11.620999999999999
1770-08-01,3.14,14.552999999999999,8.273,8,1770,11.413
1770-09-01,1.51,12.234000000000002,9.214,9,1770,10.724
1770-10-01,1.6030000000000002,10.264000000000001,7.058,10,1770,8.661
1770-11-01,2.7260000000000004,8.517000000000001,3.065,11,1770,5.791
1770-12-01,2.87,7.604,1.864,12,1770,4.734
1771-01-01,4.287,9.388,0.8140000000000001,1,1771,5.101
1771-03-01,3.237,6.051,-0.423,3,1771,2.8139999999999996
1771-04-01,2.647,8.363999999999999,3.069999999999999,4,1771,5.716999999999999
1771-05-01,3.088,12.714,6.5379999999999985,5,1771,9.626
1771-06-01,1.403,15.507,12.701,6,1771,14.104000000000001
1771-07-01,1.435,15.263,12.393,7,1771,13.828
1771-08-01,2.246,16.45,11.958,8,1771,14.204
1771-09-01,1.515,12.878,9.848,9,1771,11.363
1771-10-01,1.721,12.038,8.596,10,1771,10.317
1771-11-01,2.952,7.867999999999999,1.9640000000000004,11,1771,4.916
1771-12-01,3.506,6.0280000000000005,-0.9840000000000004,12,1771,2.522
1772-01-01,4.624,5.877000000000001,-3.371,1,1772,1.253
1772-02-01,5.962999999999999,7.440999999999999,-4.4849999999999985,2,1772,1.4780000000000002
1772-03-01,2.206,5.263,0.851,3,1772,3.057
1772-04-01,1.524,10.381999999999998,7.333999999999998,4,1772,8.857999999999997
1772-05-01,1.844,11.375,7.687,5,1772,9.531
1772-06-01,2.4290000000000003,15.076,10.217999999999998,6,1772,12.646999999999998
1772-07-01,1.409,15.99,13.172,7,1772,14.581
1772-08-01,1.641,15.739,12.457,8,1772,14.097999999999999
1772-09-01,1.334,11.637,8.969,9,1772,10.303
1772-10-01,1.386,10.653999999999998,7.881999999999999,10,1772,9.268
1772-11-01,2.582,10.318,5.154000000000002,11,1772,7.7360000000000015
1772-12-01,2.624,8.136000000000001,2.8880000000000012,12,1772,5.5120000000000005
1773-02-01,3.0210000000000004,4.442,-1.6000000000000003,2,1773,1.4209999999999998
1773-03-01,2.083,6.505000000000003,2.3390000000000013,3,1773,4.4220000000000015
