Datetime,LandAverageTemperatureUncertainty,UpperBounds,LowerBounds,month,year,Average_Temperature,Yearly_SMA,Decade_SMA,Semicentennial_SMA,Centurie,Global_Warming
1762-07-01,1.966,16.686,12.754000000000001,7,1762,14.72,9.745583333333336,8.036791666666668,,,1
1762-08-01,3.3289999999999997,17.320999999999998,10.663,8,1762,13.992,9.790666666666668,8.100333333333335,,,1
1762-09-01,3.2260000000000004,13.552,7.099999999999998,9,1762,10.325999999999999,9.373583333333334,8.163283333333334,,,1
1762-10-01,2.8789999999999996,9.035,3.277000000000002,10,1762,6.1560000000000015,8.842000000000002,8.193791666666668,,,0
1762-11-01,3.3539999999999996,9.721,3.0130000000000012,11,1762,6.367000000000001,8.770333333333335,8.238825,,,0
1762-12-01,3.188,6.311,-0.06499999999999995,12,1762,3.123,8.606500000000002,8.216516666666669,,,0
1763-01-01,6.415,7.7840000000000025,-5.045999999999999,1,1763,1.3690000000000002,8.14841666666667,8.164008333333335,,,0
1763-02-01,4.102,4.873,-3.3310000000000004,2,1763,0.7709999999999999,7.812583333333336,8.055208333333335,,,0
1763-03-01,4.635,6.211,-3.059,3,1763,1.5760000000000003,7.649916666666669,7.948300000000002,,,0
1763-04-01,2.275,10.146,5.595999999999997,4,1763,7.870999999999999,7.554250000000001,7.924950000000002,,,0
1763-05-01,2.736,13.437,7.964999999999997,5,1763,10.700999999999999,7.53925,8.011225000000003,,,1
1763-06-01,2.224,14.495,10.047,6,1763,12.270999999999999,7.436916666666668,8.065100000000003,,,1
1763-08-01,2.157,16.283,11.969,8,1763,14.126,7.387416666666668,8.113941666666669,,,1
1763-09-01,2.827,14.205,8.551,9,1763,11.378,7.1695833333333345,8.143433333333336,,,1
1763-10-01,2.9610000000000003,8.496,2.574,10,1763,5.535,6.770333333333334,8.128433333333335,,,0
1763-11-01,2.08,6.667999999999998,2.508,11,1763,4.588,6.639666666666667,8.124283333333334,,,0
1763-12-01,3.653,7.037000000000001,-0.2690000000000001,12,1763,3.384,6.3910833333333334,8.135491666666669,,,0
1764-01-01,3.628,5.369,-1.887,1,1764,1.741,6.275916666666666,8.144041666666668,,,0
1764-02-01,2.8680000000000003,9.03,3.2940000000000005,2,1764,6.162000000000001,6.675333333333334,8.150191666666668,,,0
1764-03-01,2.488,8.009,3.033,3,1764,5.521,7.071166666666667,8.127266666666667,,,0
1764-04-01,3.159,11.038999999999998,4.720999999999999,4,1764,7.879999999999999,7.5965,8.091383333333333,,,0
1764-05-01,4.55,15.725,6.625000000000001,5,1764,11.175,7.871833333333334,8.062966666666666,,,1
1764-06-01,1.7069999999999999,13.43,10.015999999999998,6,1764,11.722999999999999,7.957000000000001,8.034891666666665,,,1
1764-07-01,3.2560000000000002,15.763,9.251,7,1764,12.507,7.9766666666666675,8.021216666666666,,,1
1764-08-01,1.2590000000000001,13.541,11.023,8,1764,12.282,7.823,8.01255,,,1
1764-09-01,2.2359999999999998,12.932,8.46,9,1764,10.696,7.766166666666667,8.027,,,1
1764-10-01,2.515,12.526,7.495999999999999,10,1764,10.011,8.139166666666666,8.065816666666667,,,1
1764-11-01,2.8280000000000003,8.619,2.963,11,1764,5.791,8.239416666666667,8.109416666666666,,,0
1764-12-01,2.8089999999999997,8.124,2.5060000000000007,12,1764,5.315,8.400333333333334,8.140591666666667,,,0
1765-01-01,4.928,8.708,-1.148,1,1765,3.78,8.57025,8.14145,,,0
1765-02-01,3.156,6.9879999999999995,0.6759999999999997,2,1765,3.832,8.376083333333332,8.076633333333334,,,0
1765-03-01,2.4419999999999997,9.301,4.417,3,1765,6.859,8.487583333333331,8.034325,,,0
1765-04-01,1.4480000000000002,10.461,7.564999999999999,4,1765,9.013,8.581999999999999,7.989533333333333,,,1
1765-05-01,1.9280000000000002,12.662000000000004,8.806000000000003,5,1765,10.734000000000002,8.54525,7.956641666666667,,,1
1765-06-01,1.453,12.285999999999998,9.38,6,1765,10.832999999999998,8.471083333333333,7.933949999999999,,,1
1765-07-01,2.375,16.328,11.578,7,1765,13.953,8.591583333333332,7.957483333333332,,,1
1765-08-01,1.8719999999999999,14.992,11.248,8,1765,13.12,8.661416666666666,7.986966666666666,,,1
1765-09-01,1.705,12.698,9.288,9,1765,10.993,8.686166666666667,8.027233333333333,,,1
1765-10-01,1.5330000000000001,9.437,6.371,10,1765,7.904,8.510583333333333,8.054875000000001,,,0
1765-11-01,3.737,9.34,1.8659999999999999,11,1765,5.603,8.494916666666667,8.092675,,,0
1765-12-01,2.556,4.955,-0.15700000000000006,12,1765,2.399,8.251916666666666,8.113566666666665,,,0
1766-02-01,3.741,8.637,1.1549999999999998,2,1766,4.896,8.344916666666666,8.124308333333333,,,0
1766-03-01,2.802,8.863999999999997,3.26,3,1766,6.062,8.53075,8.097633333333333,,,0
1766-04-01,2.084,10.091,5.922999999999999,4,1766,8.007,8.626416666666668,8.057016666666666,,,0
1766-05-01,1.555,12.783,9.673,5,1766,11.228,8.811,8.022416666666665,,,1
1766-06-01,3.745,17.398,9.907999999999998,6,1766,13.652999999999999,9.054249999999998,8.016216666666665,,,1
1766-07-01,2.3409999999999997,15.895999999999999,11.214,7,1766,13.555,9.281083333333333,8.016549999999999,,,1
1766-08-01,2.5980000000000003,16.355999999999998,11.159999999999998,8,1766,13.758,9.264833333333332,8.033091666666666,,,1
1766-09-01,2.855,15.105,9.395,9,1766,12.25,9.192333333333332,8.052091666666664,,,1
1766-10-01,1.4909999999999999,9.956,6.974,10,1766,8.465,8.981666666666666,8.072983333333331,,,1
1766-11-01,3.7739999999999996,11.228000000000002,3.680000000000002,11,1766,7.4540000000000015,8.944166666666666,8.113733333333332,,,0
1766-12-01,2.278,4.6110000000000015,0.05500000000000016,12,1766,2.333,8.671666666666667,8.100783333333332,,,0
1767-02-01,4.973,8.905,-1.041,2,1767,3.932,8.799416666666668,8.086333333333332,,,0
1767-03-01,4.418,11.44,2.604,3,1767,7.022,8.976583333333334,8.109916666666665,,,0
1767-04-01,3.557,9.835,2.721,4,1767,6.278,8.994583333333335,8.078549999999998,,,0
