Datetime,month,Year,Decade_SMA,Global_Warming,Yearly_SMA_Solid_Fuel,Yearly_SMA_Gas_Fuel,Yearly_SMA_Cement,Yearly_SMA_Gas_Flaring,Yearly_SMA_Per_Capita,Yearly_SMA_Liquid_Fuel,Yearly_SMA_CarbonTotal,Average_Temps
1975-08-01,8,1975,8.635566666666652,1,1641.666666666667,601.6666666666666,95.33333333333331,97.0,1.139999999999998,2169.6666666666665,4605.0,13.514000000000001
1975-09-01,9,1975,8.639083333333321,1,1649.5,602.25,95.25,95.75,1.1374999999999982,2160.25,4602.75,12.152000000000001
1975-10-01,10,1975,8.637666666666652,1,1657.333333333333,602.8333333333334,95.16666666666669,94.5,1.134999999999998,2150.833333333333,4600.5,9.318
1975-11-01,11,1975,8.637941666666652,1,1665.166666666667,603.4166666666666,95.08333333333331,93.25,1.1324999999999978,2141.4166666666665,4598.25,5.893
1975-12-01,12,1975,8.637116666666651,1,1673.0,604.0,95.0,92.0,1.1299999999999981,2132.0,4596.0,3.667
1976-01-01,1,1976,8.640399999999984,1,1676.083333333333,606.1666666666666,95.66666666666669,93.33333333333331,1.1341666666666643,2147.1666666666665,4618.333333333333,2.884
1976-02-01,2,1976,8.638241666666651,1,1679.166666666667,608.3333333333334,96.33333333333331,94.66666666666669,1.1383333333333312,2162.333333333333,4640.666666666667,3.031
1976-03-01,3,1976,8.629824999999983,1,1682.25,610.5,97.0,96.0,1.142499999999998,2177.5,4663.0,4.5169999999999995
1976-04-01,4,1976,8.630933333333319,1,1685.333333333333,612.6666666666666,97.66666666666669,97.33333333333331,1.1466666666666647,2192.6666666666665,4685.333333333333,8.293999999999999
1976-05-01,5,1976,8.628783333333319,1,1688.416666666667,614.8333333333334,98.33333333333331,98.66666666666669,1.1508333333333314,2207.833333333333,4707.666666666667,10.941999999999998
1976-06-01,6,1976,8.624608333333319,1,1691.5,617.0,99.0,100.0,1.1549999999999985,2223.0,4730.0,13.086
1976-07-01,7,1976,8.621158333333318,1,1694.583333333333,619.1666666666666,99.66666666666669,101.33333333333331,1.1591666666666651,2238.1666666666665,4752.333333333333,14.155
1976-08-01,8,1976,8.619324999999984,1,1697.666666666667,621.3333333333334,100.33333333333331,102.66666666666669,1.1633333333333316,2253.333333333333,4774.666666666667,13.511
1976-09-01,9,1976,8.61734166666665,1,1700.75,623.5,101.0,104.0,1.1674999999999984,2268.5,4797.0,11.895
1976-10-01,10,1976,8.61199166666665,1,1703.833333333333,625.6666666666666,101.66666666666669,105.33333333333331,1.171666666666665,2283.6666666666665,4819.333333333333,8.511000000000001
1976-11-01,11,1976,8.60941666666665,1,1706.916666666667,627.8333333333334,102.33333333333331,106.66666666666669,1.1758333333333315,2298.833333333333,4841.666666666667,5.66
1976-12-01,12,1976,8.611908333333316,1,1710.0,630.0,103.0,108.0,1.1799999999999986,2314.0,4864.0,3.681
1977-01-01,1,1977,8.610091666666651,1,1714.583333333333,631.6666666666666,103.41666666666669,107.66666666666669,1.1808333333333318,2321.0,4877.5,2.492
1977-02-01,2,1977,8.614808333333317,1,1719.166666666667,633.3333333333334,103.83333333333331,107.33333333333331,1.181666666666665,2328.0,4891.0,3.471
1977-03-01,3,1977,8.617358333333318,1,1723.75,635.0,104.25,107.0,1.1824999999999986,2335.0,4904.5,5.702000000000001
1977-04-01,4,1977,8.620624999999983,1,1728.333333333333,636.6666666666666,104.66666666666669,106.66666666666669,1.1833333333333318,2342.0,4918.0,8.85
1977-05-01,5,1977,8.621858333333314,1,1732.916666666667,638.3333333333334,105.08333333333331,106.33333333333331,1.184166666666665,2349.0,4931.5,11.78
1977-06-01,6,1977,8.627541666666648,1,1737.5,640.0,105.5,106.0,1.1849999999999985,2356.0,4945.0,13.876
1977-07-01,7,1977,8.630041666666651,1,1742.083333333333,641.6666666666666,105.91666666666669,105.66666666666669,1.1858333333333315,2363.0,4958.5,14.630999999999998
1977-08-01,8,1977,8.632283333333316,1,1746.666666666667,643.3333333333334,106.33333333333331,105.33333333333331,1.186666666666665,2370.0,4972.0,14.09
1977-09-01,9,1977,8.630683333333316,1,1751.25,645.0,106.75,105.0,1.1874999999999984,2377.0,4985.5,11.861999999999998
1977-10-01,10,1977,8.625241666666652,1,1755.833333333333,646.6666666666666,107.16666666666669,104.66666666666669,1.1883333333333317,2384.0,4999.0,9.156
1977-11-01,11,1977,8.628308333333317,1,1760.416666666667,648.3333333333334,107.58333333333331,104.33333333333331,1.1891666666666652,2391.0,5012.5,6.5440000000000005
1977-12-01,12,1977,8.626924999999984,1,1765.0,650.0,108.0,104.0,1.1899999999999984,2398.0,5026.0,3.7489999999999997
1978-01-01,1,1978,8.629858333333317,1,1767.333333333333,652.5,108.66666666666669,104.16666666666669,1.1899999999999984,2397.5,5031.083333333333,2.705
1978-02-01,2,1978,8.63161666666665,1,1769.666666666667,655.0,109.33333333333331,104.33333333333331,1.1899999999999984,2397.0,5036.166666666667,3.4560000000000004
1978-03-01,3,1978,8.627366666666651,1,1772.0,657.5,110.0,104.5,1.1899999999999984,2396.5,5041.25,5.607
1978-04-01,4,1978,8.63016666666665,1,1774.333333333333,660.0,110.66666666666669,104.66666666666669,1.1899999999999984,2396.0,5046.333333333333,8.790999999999999
1978-05-01,5,1978,8.633049999999987,1,1776.666666666667,662.5,111.33333333333331,104.83333333333331,1.1899999999999984,2395.5,5051.416666666667,11.414000000000001
1978-06-01,6,1978,8.633183333333317,1,1779.0,665.0,112.0,105.0,1.1899999999999984,2395.0,5056.5,13.22
1978-07-01,7,1978,8.635999999999985,1,1781.333333333333,667.5,112.66666666666669,105.16666666666669,1.1899999999999984,2394.5,5061.583333333333,14.364
1978-08-01,8,1978,8.634108333333321,1,1783.666666666667,670.0,113.33333333333331,105.33333333333331,1.1899999999999984,2394.0,5066.666666666667,13.297
1978-09-01,9,1978,8.637524999999988,1,1786.0,672.5,114.0,105.5,1.1899999999999984,2393.5,5071.75,12.03
1978-10-01,10,1978,8.636574999999986,1,1788.333333333333,675.0,114.66666666666669,105.66666666666669,1.1899999999999984,2393.0,5076.833333333333,9.339
1978-11-01,11,1978,8.640399999999984,1,1790.666666666667,677.5,115.33333333333331,105.83333333333331,1.1899999999999984,2392.5,5081.916666666667,6.3500000000000005
1978-12-01,12,1978,8.644566666666652,1,1793.0,680.0,116.0,106.0,1.1899999999999984,2392.0,5087.0,3.74
1979-01-01,1,1979,8.650508333333319,1,1800.833333333333,683.4166666666666,116.25,105.33333333333331,1.1933333333333318,2404.6666666666665,5110.5,2.6790000000000003
1979-02-01,2,1979,8.653766666666652,1,1808.666666666667,686.8333333333334,116.5,104.66666666666669,1.1966666666666652,2417.333333333333,5134.0,2.841
1979-03-01,3,1979,8.656624999999984,1,1816.5,690.25,116.75,104.0,1.1999999999999986,2430.0,5157.5,5.474
1979-04-01,4,1979,8.655616666666651,1,1824.333333333333,693.6666666666665,117.0,103.33333333333331,1.203333333333332,2442.6666666666665,5181.0,8.455
1979-05-01,5,1979,8.654324999999982,1,1832.166666666667,697.0833333333335,117.25,102.66666666666669,1.2066666666666654,2455.333333333333,5204.5,11.199000000000002
1979-06-01,6,1979,8.654424999999984,1,1840.0,700.5,117.5,102.0,1.2099999999999989,2468.0,5228.0,13.487
1979-07-01,7,1979,8.653558333333317,1,1847.833333333333,703.9166666666665,117.75,101.33333333333331,1.2133333333333325,2480.6666666666665,5251.5,14.114
1979-08-01,8,1979,8.653799999999983,1,1855.666666666667,707.3333333333335,118.0,100.66666666666669,1.2166666666666657,2493.333333333333,5275.0,13.833
1979-09-01,9,1979,8.655458333333318,1,1863.5,710.75,118.25,100.0,1.2199999999999989,2506.0,5298.5,12.247
1979-10-01,10,1979,8.656266666666651,1,1871.333333333333,714.1666666666665,118.5,99.33333333333331,1.2233333333333325,2518.6666666666665,5322.0,9.586
1979-11-01,11,1979,8.655149999999987,1,1879.166666666667,717.5833333333335,118.75,98.66666666666669,1.226666666666666,2531.333333333333,5345.5,6.2860000000000005
1979-12-01,12,1979,8.658399999999983,1,1887.0,721.0,119.0,98.0,1.229999999999999,2544.0,5369.0,4.6
1980-01-01,1,1980,8.659399999999982,1,1892.0,722.5833333333335,119.08333333333331,97.0,1.2274999999999991,2533.833333333333,5364.5,2.9560000000000004
1980-02-01,2,1980,8.658708333333317,1,1897.0,724.1666666666665,119.16666666666669,96.0,1.224999999999999,2523.6666666666665,5360.0,3.6519999999999997
1980-03-01,3,1980,8.659499999999984,1,1902.0,725.75,119.25,95.0,1.222499999999999,2513.5,5355.5,5.367000000000001
1980-04-01,4,1980,8.662266666666651,1,1907.0,727.3333333333335,119.33333333333331,94.0,1.2199999999999989,2503.333333333333,5351.0,8.934999999999997
1980-05-01,5,1980,8.666966666666651,1,1912.0,728.9166666666665,119.41666666666669,93.0,1.2174999999999987,2493.1666666666665,5346.5,11.77
1980-06-01,6,1980,8.667541666666652,1,1917.0,730.5,119.5,92.0,1.2149999999999987,2483.0,5342.0,13.582
1980-07-01,7,1980,8.670433333333317,1,1922.0,732.0833333333335,119.58333333333331,91.0,1.2124999999999986,2472.833333333333,5337.5,14.742
