Datetime,month,Year,Decade_SMA,Global_Warming,Yearly_SMA_Solid_Fuel,Yearly_SMA_Gas_Fuel,Yearly_SMA_Cement,Yearly_SMA_Gas_Flaring,Yearly_SMA_Per_Capita,Yearly_SMA_Liquid_Fuel,Yearly_SMA_CarbonTotal
1917-12-01,12,1917,8.26597499999999,1,891.0,11.0,0.0,0.0,0.0,54.0,955.0
1918-01-01,1,1918,8.262891666666656,1,889.5,10.916666666666666,0.0,0.0,0.0,53.916666666666664,953.4166666666666
1918-02-01,2,1918,8.260274999999991,1,888.0,10.833333333333334,0.0,0.0,0.0,53.833333333333336,951.8333333333334
1918-03-01,3,1918,8.265899999999991,1,886.5,10.75,0.0,0.0,0.0,53.75,950.25
1918-04-01,4,1918,8.264333333333324,1,885.0,10.666666666666666,0.0,0.0,0.0,53.666666666666664,948.6666666666666
1918-05-01,5,1918,8.259324999999992,1,883.5,10.583333333333334,0.0,0.0,0.0,53.583333333333336,947.0833333333334
1918-06-01,6,1918,8.256116666666657,1,882.0,10.5,0.0,0.0,0.0,53.5,945.5
1918-07-01,7,1918,8.254491666666656,1,880.5,10.416666666666666,0.0,0.0,0.0,53.416666666666664,943.9166666666666
1918-08-01,8,1918,8.254949999999992,1,879.0,10.333333333333334,0.0,0.0,0.0,53.333333333333336,942.3333333333334
1918-09-01,9,1918,8.254149999999992,1,877.5,10.25,0.0,0.0,0.0,53.25,940.75
1918-10-01,10,1918,8.258883333333324,1,876.0,10.166666666666666,0.0,0.0,0.0,53.166666666666664,939.1666666666666
1918-11-01,11,1918,8.262308333333324,1,874.5,10.083333333333334,0.0,0.0,0.0,53.083333333333336,937.5833333333334
1918-12-01,12,1918,8.26044999999999,1,873.0,10.0,0.0,0.0,0.0,53.0,936.0
1919-01-01,1,1919,8.267024999999991,1,861.5,10.0,0.0,0.0,0.0,53.666666666666664,925.1666666666666
1919-02-01,2,1919,8.268241666666658,1,850.0,10.0,0.0,0.0,0.0,54.333333333333336,914.3333333333334
1919-03-01,3,1919,8.269524999999991,1,838.5,10.0,0.0,0.0,0.0,55.0,903.5
1919-04-01,4,1919,8.277466666666657,1,827.0,10.0,0.0,0.0,0.0,55.666666666666664,892.6666666666666
